Name,Contact_No,Crime_Type,Intensity_Level,Witness_Info,Location,Latitude,Longitude,Timestamp,Description
User_314,03303271518,Mobile Snatching,Low,[],Hazara Town Area,30.180736,66.9409,2024-01-05T18:13:00,Phone snatched by two riders on a bike.
User_840,03373520064,Mobile Snatching,Low,[],Sariab Road Area,30.154,67.003982,2024-01-06T07:18:00,Phone snatched by two riders on a bike.
User_834,03164581548,Motorcycle Theft,Medium,[],Zarghoon Road Area,30.207309,67.01117,2024-01-06T18:41:00,Bike stolen from outside the house.
User_597,03307255339,Mobile Snatching,High,"[{""Name"": ""Witness_61"", ""Contact_No"": ""03377822482""}, {""Name"": ""Witness_54"", ""Contact_No"": ""03257022163""}]",Jinnah Road Area,30.19719,66.997676,2024-01-07T12:39:00,Phone snatched by two riders on a bike.
User_156,03183855957,Mobile Snatching,Low,[],Hazara Town Area,30.195789,66.951283,2024-01-09T10:37:00,Phone snatched by two riders on a bike.
User_357,03254173612,Assault,Low,[],Sariab Road Area,30.151288,66.981918,2024-01-09T13:20:00,Street fight resulting in moderate injuries.
User_996,03358869673,Robbery,High,"[{""Name"": ""Witness_85"", ""Contact_No"": ""03266272524""}, {""Name"": ""Witness_39"", ""Contact_No"": ""03471486394""}, {""Name"": ""Witness_58"", ""Contact_No"": ""03346485821""}, {""Name"": ""Witness_25"", ""Contact_No"": ""03374304317""}]",Sariab Road Area,30.1456,66.993308,2024-01-13T15:51:00,Victim intercepted and robbed at gunpoint.
User_885,03287390100,Mobile Snatching,Low,[],Zarghoon Road Area,30.20191,66.996848,2024-01-15T11:20:00,Victim robbed of mobile while walking.
User_416,03133870780,Mobile Snatching,Low,"[{""Name"": ""Witness_10"", ""Contact_No"": ""03458896821""}]",Zarghoon Road Area,30.204961,67.008684,2024-01-15T13:59:00,Phone snatched by two riders on a bike.
User_285,03265450976,Mobile Snatching,Low,"[{""Name"": ""Witness_36"", ""Contact_No"": ""03231591184""}]",Jinnah Road Area,30.207997,67.012252,2024-01-15T22:11:00,Phone snatched by two riders on a bike.
User_353,03286838146,Motorcycle Theft,Medium,"[{""Name"": ""Witness_24"", ""Contact_No"": ""03218158337""}]",Jinnah Road Area,30.196622,66.988284,2024-01-16T10:16:00,Motorcycle lock broken at market parking.
User_369,03437557447,Mobile Snatching,Low,[],Jinnah Road Area,30.194767,67.023332,2024-01-16T13:23:00,Victim robbed of mobile while walking.
User_774,03258582798,Car Theft,Medium,[],Zarghoon Road Area,30.182816,66.990986,2024-01-17T15:33:00,Car jacked from the market parking.
User_336,03344203306,Motorcycle Theft,Medium,"[{""Name"": ""Witness_53"", ""Contact_No"": ""03195568149""}]",Nawa Killi Area,30.242775,67.039861,2024-01-18T00:30:00,Bike stolen from outside the house.
User_852,03438241327,Mobile Snatching,Low,[],Nawa Killi Area,30.228226,67.007993,2024-01-18T16:31:00,Phone snatched by two riders on a bike.
User_713,03396943936,Mobile Snatching,Low,"[{""Name"": ""Witness_85"", ""Contact_No"": ""03194877853""}]",Zarghoon Road Area,30.235197,66.997198,2024-01-18T18:12:00,Phone snatched by two riders on a bike.
User_162,03417182403,Robbery,High,"[{""Name"": ""Witness_64"", ""Contact_No"": ""03402688727""}, {""Name"": ""Witness_71"", ""Contact_No"": ""03323955805""}, {""Name"": ""Witness_27"", ""Contact_No"": ""03262425069""}, {""Name"": ""Witness_29"", ""Contact_No"": ""03226467635""}]",Cantonment Area,30.206927,67.032157,2024-01-18T22:34:00,Armed individuals looted the shop.
User_352,03341918020,Mobile Snatching,Low,"[{""Name"": ""Witness_39"", ""Contact_No"": ""03481591807""}]",Hazara Town Area,30.148114,66.967166,2024-01-19T15:01:00,Phone snatched by two riders on a bike.
User_239,03359790613,Robbery,High,"[{""Name"": ""Witness_73"", ""Contact_No"": ""03184433852""}, {""Name"": ""Witness_65"", ""Contact_No"": ""03288753107""}, {""Name"": ""Witness_42"", ""Contact_No"": ""03262118839""}]",Zarghoon Road Area,30.179989,67.009147,2024-01-20T18:36:00,Victim intercepted and robbed at gunpoint.
User_405,03313945363,Robbery,High,"[{""Name"": ""Witness_36"", ""Contact_No"": ""03294924860""}, {""Name"": ""Witness_55"", ""Contact_No"": ""03415181878""}]",Satellite Town Area,30.205008,66.989036,2024-01-21T17:15:00,Armed individuals looted the shop.
User_466,03354119014,Assault,Medium,[],Hazara Town Area,30.202222,66.92019,2024-01-23T18:24:00,Street fight resulting in moderate injuries.
User_497,03116332275,Motorcycle Theft,Medium,"[{""Name"": ""Witness_38"", ""Contact_No"": ""03432436067""}]",Sariab Road Area,30.169754,66.989467,2024-01-24T15:57:00,Bike stolen from outside the house.
User_714,03168831969,Assault,Low,"[{""Name"": ""Witness_97"", ""Contact_No"": ""03122379645""}]",Sariab Road Area,30.108824,66.984301,2024-01-24T19:17:00,Physical altercation outside a local cafe.
User_897,03337747900,Motorcycle Theft,Medium,[],Zarghoon Road Area,30.214544,67.034448,2024-01-25T20:16:00,Motorcycle lock broken at market parking.
User_259,03415416953,Robbery,High,"[{""Name"": ""Witness_15"", ""Contact_No"": ""03228947021""}, {""Name"": ""Witness_99"", ""Contact_No"": ""03273001246""}, {""Name"": ""Witness_32"", ""Contact_No"": ""03127573312""}, {""Name"": ""Witness_11"", ""Contact_No"": ""03288020726""}]",Jinnah Road Area,30.190649,66.995419,2024-01-27T09:46:00,Armed individuals looted the shop.
User_110,03328737367,Car Theft,Medium,"[{""Name"": ""Witness_27"", ""Contact_No"": ""03332924551""}]",Sariab Road Area,30.155142,66.976547,2024-01-29T19:07:00,Car jacked from the market parking.
User_950,03117125496,Motorcycle Theft,Medium,"[{""Name"": ""Witness_65"", ""Contact_No"": ""03203698820""}]",Cantonment Area,30.21156,67.052158,2024-01-30T00:11:00,Motorcycle lock broken at market parking.
User_410,03131657730,Assault,Low,[],Zarghoon Road Area,30.219072,67.002719,2024-01-30T08:30:00,Street fight resulting in moderate injuries.
User_237,03117888230,Motorcycle Theft,Medium,[],Satellite Town Area,30.220624,66.994727,2024-01-31T10:20:00,Bike stolen from outside the house.
User_533,03141534181,Robbery,High,"[{""Name"": ""Witness_30"", ""Contact_No"": ""03464965538""}, {""Name"": ""Witness_62"", ""Contact_No"": ""03243400065""}, {""Name"": ""Witness_92"", ""Contact_No"": ""03136469319""}, {""Name"": ""Witness_92"", ""Contact_No"": ""03163235300""}]",Zarghoon Road Area,30.209102,67.004725,2024-01-31T12:40:00,Victim intercepted and robbed at gunpoint.
User_991,03227162896,Mobile Snatching,High,"[{""Name"": ""Witness_72"", ""Contact_No"": ""03333120824""}, {""Name"": ""Witness_94"", ""Contact_No"": ""03257150553""}, {""Name"": ""Witness_43"", ""Contact_No"": ""03448793031""}, {""Name"": ""Witness_99"", ""Contact_No"": ""03161834458""}]",Nawa Killi Area,30.229802,66.997738,2024-02-01T13:02:00,Phone snatched by two riders on a bike.
User_683,03357880191,Mobile Snatching,Low,[],Hazara Town Area,30.166735,66.942993,2024-02-02T18:44:00,Victim robbed of mobile while walking.
User_638,03445082479,Motorcycle Theft,Medium,[],Jinnah Road Area,30.201535,67.001685,2024-02-02T20:39:00,Motorcycle lock broken at market parking.
User_176,03178331092,Motorcycle Theft,Medium,[],Cantonment Area,30.189258,67.033173,2024-02-02T21:36:00,Bike stolen from outside the house.
User_371,03159326208,Mobile Snatching,Low,"[{""Name"": ""Witness_46"", ""Contact_No"": ""03269557459""}]",Satellite Town Area,30.215834,67.002306,2024-02-04T02:26:00,Phone snatched by two riders on a bike.
User_245,03197226827,Motorcycle Theft,Medium,[],Hazara Town Area,30.190613,66.950374,2024-02-04T21:40:00,Bike stolen from outside the house.
User_582,03244273717,Robbery,High,"[{""Name"": ""Witness_71"", ""Contact_No"": ""03182784141""}, {""Name"": ""Witness_36"", ""Contact_No"": ""03225163198""}, {""Name"": ""Witness_80"", ""Contact_No"": ""03244660418""}, {""Name"": ""Witness_39"", ""Contact_No"": ""03346694683""}]",Zarghoon Road Area,30.211497,66.994461,2024-02-05T06:41:00,Armed individuals looted the shop.
User_211,03228436429,Assault,Medium,"[{""Name"": ""Witness_39"", ""Contact_No"": ""03196034640""}]",Sariab Road Area,30.098881,66.98901,2024-02-05T16:59:00,Physical altercation outside a local cafe.
User_596,03125546560,Robbery,High,"[{""Name"": ""Witness_64"", ""Contact_No"": ""03157223129""}, {""Name"": ""Witness_88"", ""Contact_No"": ""03305438051""}]",Sariab Road Area,30.137305,66.960391,2024-02-05T18:22:00,Victim intercepted and robbed at gunpoint.
User_881,03376317852,Motorcycle Theft,Medium,"[{""Name"": ""Witness_39"", ""Contact_No"": ""03187805334""}]",Nawa Killi Area,30.233435,67.013645,2024-02-05T20:54:00,Motorcycle lock broken at market parking.
User_725,03434800330,Robbery,High,"[{""Name"": ""Witness_28"", ""Contact_No"": ""03392789936""}, {""Name"": ""Witness_31"", ""Contact_No"": ""03252805044""}, {""Name"": ""Witness_29"", ""Contact_No"": ""03419271446""}]",Satellite Town Area,30.186399,67.033729,2024-02-06T11:48:00,Victim intercepted and robbed at gunpoint.
User_906,03418415672,Assault,Low,[],Cantonment Area,30.202362,67.040009,2024-02-07T22:33:00,Street fight resulting in moderate injuries.
User_667,03464988584,Motorcycle Theft,Medium,[],Satellite Town Area,30.227055,67.005645,2024-02-08T07:30:00,Motorcycle lock broken at market parking.
User_586,03433467187,Assault,Low,"[{""Name"": ""Witness_47"", ""Contact_No"": ""03112718295""}]",Cantonment Area,30.230324,67.028584,2024-02-08T16:32:00,Physical altercation outside a local cafe.
User_361,03315471483,Mobile Snatching,Low,[],Satellite Town Area,30.241864,67.037012,2024-02-08T19:55:00,Victim robbed of mobile while walking.
User_761,03392017569,Motorcycle Theft,Medium,[],Jinnah Road Area,30.207248,66.996041,2024-02-10T20:37:00,Motorcycle lock broken at market parking.
User_872,03463010360,Mobile Snatching,Medium,"[{""Name"": ""Witness_82"", ""Contact_No"": ""03278071796""}]",Cantonment Area,30.180045,67.029628,2024-02-11T17:38:00,Phone snatched by two riders on a bike.
User_422,03282811412,Motorcycle Theft,Medium,[],Satellite Town Area,30.214107,66.994115,2024-02-12T15:19:00,Motorcycle lock broken at market parking.
User_180,03119748650,Motorcycle Theft,Medium,[],Zarghoon Road Area,30.219272,67.020879,2024-02-12T19:52:00,Motorcycle lock broken at market parking.
User_194,03179798200,Mobile Snatching,Low,[],Hazara Town Area,30.154857,66.924354,2024-02-13T14:14:00,Phone snatched by two riders on a bike.
User_383,03327300300,Motorcycle Theft,Medium,"[{""Name"": ""Witness_96"", ""Contact_No"": ""03123045732""}]",Cantonment Area,30.212176,67.041461,2024-02-13T17:22:00,Bike stolen from outside the house.
User_845,03325598723,Mobile Snatching,Low,"[{""Name"": ""Witness_52"", ""Contact_No"": ""03456585229""}]",Nawa Killi Area,30.265522,67.003153,2024-02-14T06:51:00,Victim robbed of mobile while walking.
User_474,03211514491,Mobile Snatching,Low,"[{""Name"": ""Witness_63"", ""Contact_No"": ""03355025335""}]",Cantonment Area,30.228329,67.064934,2024-02-14T20:15:00,Phone snatched by two riders on a bike.
User_707,03419709735,Robbery,High,"[{""Name"": ""Witness_83"", ""Contact_No"": ""03155498317""}, {""Name"": ""Witness_19"", ""Contact_No"": ""03302712516""}]",Cantonment Area,30.190272,67.042024,2024-02-14T20:48:00,Victim intercepted and robbed at gunpoint.
User_351,03165894011,Mobile Snatching,Medium,"[{""Name"": ""Witness_40"", ""Contact_No"": ""03207585250""}]",Cantonment Area,30.185783,67.0268,2024-02-15T12:00:00,Phone snatched by two riders on a bike.
User_371,03444632916,Mobile Snatching,Medium,[],Cantonment Area,30.217177,67.019242,2024-02-16T03:51:00,Victim robbed of mobile while walking.
User_230,03196670067,Mobile Snatching,Low,[],Hazara Town Area,30.172843,66.951435,2024-02-16T13:33:00,Phone snatched by two riders on a bike.
User_657,03294079298,Motorcycle Theft,Medium,"[{""Name"": ""Witness_59"", ""Contact_No"": ""03281197174""}]",Zarghoon Road Area,30.227118,67.017568,2024-02-17T12:06:00,Bike stolen from outside the house.
User_186,03181548609,Mobile Snatching,Low,"[{""Name"": ""Witness_56"", ""Contact_No"": ""03382060364""}]",Sariab Road Area,30.147945,66.99777,2024-02-17T19:10:00,Victim robbed of mobile while walking.
User_698,03457757510,Motorcycle Theft,Medium,[],Sariab Road Area,30.142038,66.984139,2024-02-19T11:36:00,Bike stolen from outside the house.
User_382,03202356045,Motorcycle Theft,Medium,[],Sariab Road Area,30.137094,66.980813,2024-02-20T07:41:00,Bike stolen from outside the house.
User_267,03168382379,Robbery,High,"[{""Name"": ""Witness_90"", ""Contact_No"": ""03144254417""}, {""Name"": ""Witness_80"", ""Contact_No"": ""03424296700""}, {""Name"": ""Witness_37"", ""Contact_No"": ""03338872456""}, {""Name"": ""Witness_45"", ""Contact_No"": ""03115678177""}]",Jinnah Road Area,30.203442,67.013403,2024-02-21T15:44:00,Armed individuals looted the shop.
User_332,03281094635,Robbery,Critical,"[{""Name"": ""Witness_16"", ""Contact_No"": ""03206068758""}, {""Name"": ""Witness_71"", ""Contact_No"": ""03259471548""}, {""Name"": ""Witness_56"", ""Contact_No"": ""03279769041""}, {""Name"": ""Witness_33"", ""Contact_No"": ""03312923933""}]",Zarghoon Road Area,30.20749,67.024053,2024-02-22T00:04:00,Victim intercepted and robbed at gunpoint.
User_517,03388718974,Mobile Snatching,Low,"[{""Name"": ""Witness_40"", ""Contact_No"": ""03187736829""}]",Hazara Town Area,30.190072,66.936095,2024-02-22T11:11:00,Victim robbed of mobile while walking.
User_984,03154245208,Assault,Medium,"[{""Name"": ""Witness_13"", ""Contact_No"": ""03467031638""}]",Cantonment Area,30.197495,67.015353,2024-02-22T14:26:00,Street fight resulting in moderate injuries.
User_689,03257827789,Robbery,High,"[{""Name"": ""Witness_20"", ""Contact_No"": ""03421585483""}, {""Name"": ""Witness_83"", ""Contact_No"": ""03459536629""}, {""Name"": ""Witness_24"", ""Contact_No"": ""03365721581""}]",Hazara Town Area,30.18787,66.94784,2024-02-22T19:43:00,Armed individuals looted the shop.
User_863,03355671773,Robbery,High,"[{""Name"": ""Witness_39"", ""Contact_No"": ""03128605666""}, {""Name"": ""Witness_92"", ""Contact_No"": ""03144436779""}, {""Name"": ""Witness_80"", ""Contact_No"": ""03441867906""}]",Satellite Town Area,30.200376,67.044513,2024-02-23T16:52:00,Victim intercepted and robbed at gunpoint.
User_318,03186693180,Robbery,High,"[{""Name"": ""Witness_69"", ""Contact_No"": ""03395829376""}, {""Name"": ""Witness_47"", ""Contact_No"": ""03382783692""}, {""Name"": ""Witness_72"", ""Contact_No"": ""03235592555""}]",Hazara Town Area,30.182544,66.956168,2024-02-24T12:51:00,Victim intercepted and robbed at gunpoint.
User_381,03427568664,Motorcycle Theft,Medium,[],Zarghoon Road Area,30.212902,67.000209,2024-02-24T14:21:00,Bike stolen from outside the house.
User_627,03456726418,Robbery,High,"[{""Name"": ""Witness_88"", ""Contact_No"": ""03357645237""}, {""Name"": ""Witness_18"", ""Contact_No"": ""03399584130""}, {""Name"": ""Witness_50"", ""Contact_No"": ""03498305010""}, {""Name"": ""Witness_93"", ""Contact_No"": ""03101545349""}]",Zarghoon Road Area,30.214436,67.049056,2024-02-27T18:31:00,Victim intercepted and robbed at gunpoint.
User_263,03331080621,Mobile Snatching,Low,[],Cantonment Area,30.182233,67.056354,2024-02-29T16:34:00,Victim robbed of mobile while walking.
User_781,03156733833,Mobile Snatching,Low,[],Nawa Killi Area,30.245407,66.9863,2024-02-29T17:21:00,Phone snatched by two riders on a bike.
User_478,03272277382,Robbery,High,"[{""Name"": ""Witness_59"", ""Contact_No"": ""03373380648""}, {""Name"": ""Witness_15"", ""Contact_No"": ""03463729687""}]",Nawa Killi Area,30.228992,66.992409,2024-03-01T06:49:00,Victim intercepted and robbed at gunpoint.
User_865,03424358957,Motorcycle Theft,Medium,[],Jinnah Road Area,30.187549,66.995635,2024-03-01T07:30:00,Bike stolen from outside the house.
User_180,03104252311,Mobile Snatching,Low,"[{""Name"": ""Witness_82"", ""Contact_No"": ""03262675585""}]",Sariab Road Area,30.145815,67.008234,2024-03-02T02:37:00,Phone snatched by two riders on a bike.
User_478,03418964939,Motorcycle Theft,Medium,"[{""Name"": ""Witness_73"", ""Contact_No"": ""03382926339""}]",Jinnah Road Area,30.188637,67.001312,2024-03-02T10:27:00,Motorcycle lock broken at market parking.
User_559,03248861260,Robbery,High,"[{""Name"": ""Witness_34"", ""Contact_No"": ""03338947985""}, {""Name"": ""Witness_33"", ""Contact_No"": ""03319790691""}, {""Name"": ""Witness_35"", ""Contact_No"": ""03492028941""}]",Satellite Town Area,30.233545,67.003574,2024-03-02T18:28:00,Victim intercepted and robbed at gunpoint.
User_429,03188656363,Motorcycle Theft,Medium,[],Satellite Town Area,30.214589,67.003212,2024-03-03T19:23:00,Bike stolen from outside the house.
User_878,03135663605,Mobile Snatching,Low,[],Nawa Killi Area,30.24577,67.016991,2024-03-03T19:33:00,Victim robbed of mobile while walking.
User_346,03178753453,Motorcycle Theft,Medium,[],Satellite Town Area,30.245189,67.006755,2024-03-04T00:40:00,Motorcycle lock broken at market parking.
User_816,03144300815,Mobile Snatching,Low,"[{""Name"": ""Witness_66"", ""Contact_No"": ""03248620502""}]",Hazara Town Area,30.155694,66.950408,2024-03-04T05:12:00,Phone snatched by two riders on a bike.
User_725,03252407187,Mobile Snatching,Low,"[{""Name"": ""Witness_44"", ""Contact_No"": ""03487032606""}]",Hazara Town Area,30.185311,66.963079,2024-03-05T09:14:00,Victim robbed of mobile while walking.
User_881,03159629866,Mobile Snatching,Low,[],Zarghoon Road Area,30.201694,67.021923,2024-03-06T14:27:00,Phone snatched by two riders on a bike.
User_795,03465583574,Motorcycle Theft,Medium,[],Zarghoon Road Area,30.2216,67.044654,2024-03-07T17:02:00,Motorcycle lock broken at market parking.
User_406,03147391004,Motorcycle Theft,Medium,"[{""Name"": ""Witness_16"", ""Contact_No"": ""03102591829""}]",Cantonment Area,30.205747,67.055043,2024-03-08T06:08:00,Motorcycle lock broken at market parking.
User_553,03232377674,Mobile Snatching,High,"[{""Name"": ""Witness_94"", ""Contact_No"": ""03263475835""}, {""Name"": ""Witness_60"", ""Contact_No"": ""03496540790""}, {""Name"": ""Witness_15"", ""Contact_No"": ""03239570851""}, {""Name"": ""Witness_22"", ""Contact_No"": ""03351155107""}]",Jinnah Road Area,30.186907,66.995557,2024-03-08T07:19:00,Phone snatched by two riders on a bike.
User_416,03229996708,Assault,Low,"[{""Name"": ""Witness_80"", ""Contact_No"": ""03112830712""}]",Jinnah Road Area,30.18298,66.994197,2024-03-08T07:23:00,Street fight resulting in moderate injuries.
User_500,03366710319,Mobile Snatching,Low,[],Satellite Town Area,30.229646,66.995235,2024-03-08T17:58:00,Victim robbed of mobile while walking.
User_258,03481516141,Mobile Snatching,Low,[],Jinnah Road Area,30.18657,67.005723,2024-03-08T22:44:00,Victim robbed of mobile while walking.
User_102,03427583469,Assault,Low,[],Satellite Town Area,30.229725,66.987936,2024-03-10T12:37:00,Physical altercation outside a local cafe.
User_746,03422486426,Mobile Snatching,High,"[{""Name"": ""Witness_95"", ""Contact_No"": ""03359651586""}, {""Name"": ""Witness_22"", ""Contact_No"": ""03274268456""}, {""Name"": ""Witness_49"", ""Contact_No"": ""03358813125""}]",Zarghoon Road Area,30.213725,67.00024,2024-03-11T19:19:00,Phone snatched by two riders on a bike.
User_244,03126477003,Robbery,High,"[{""Name"": ""Witness_23"", ""Contact_No"": ""03447287222""}, {""Name"": ""Witness_30"", ""Contact_No"": ""03322467525""}, {""Name"": ""Witness_47"", ""Contact_No"": ""03196485119""}, {""Name"": ""Witness_37"", ""Contact_No"": ""03207801227""}]",Hazara Town Area,30.209916,66.952858,2024-03-12T07:33:00,Armed individuals looted the shop.
User_839,03316599382,Assault,Low,[],Jinnah Road Area,30.199264,67.01485,2024-03-13T07:02:00,Street fight resulting in moderate injuries.
User_706,03331477546,Mobile Snatching,Low,"[{""Name"": ""Witness_56"", ""Contact_No"": ""03313588062""}]",Sariab Road Area,30.122912,66.981768,2024-03-13T09:48:00,Victim robbed of mobile while walking.
User_594,03331371048,Assault,Low,[],Satellite Town Area,30.22682,67.008699,2024-03-13T15:09:00,Physical altercation outside a local cafe.
User_107,03105698006,Mobile Snatching,Medium,"[{""Name"": ""Witness_96"", ""Contact_No"": ""03158108353""}]",Zarghoon Road Area,30.230962,67.019353,2024-03-13T22:19:00,Phone snatched by two riders on a bike.
User_722,03273570767,Motorcycle Theft,Medium,[],Sariab Road Area,30.118197,66.982068,2024-03-13T22:28:00,Bike stolen from outside the house.
User_122,03167317340,Motorcycle Theft,Medium,[],Zarghoon Road Area,30.197429,67.045902,2024-03-14T12:17:00,Bike stolen from outside the house.
User_884,03386777808,Mobile Snatching,Low,[],Sariab Road Area,30.148828,66.985858,2024-03-15T18:17:00,Victim robbed of mobile while walking.
User_545,03174474935,Motorcycle Theft,Medium,[],Sariab Road Area,30.13574,66.998249,2024-03-16T16:12:00,Bike stolen from outside the house.
User_822,03129239478,Assault,Low,[],Zarghoon Road Area,30.215876,67.018164,2024-03-16T17:04:00,Street fight resulting in moderate injuries.
User_622,03252631689,Car Theft,Medium,[],Cantonment Area,30.21146,67.035879,2024-03-17T17:45:00,Car jacked from the market parking.
User_950,03289592434,Car Theft,Medium,"[{""Name"": ""Witness_44"", ""Contact_No"": ""03202078563""}]",Jinnah Road Area,30.194015,67.025069,2024-03-18T09:37:00,Parked vehicle stolen overnight.
User_642,03172922156,Assault,Low,[],Sariab Road Area,30.153013,66.997881,2024-03-19T22:28:00,Street fight resulting in moderate injuries.
User_521,03117875166,Assault,Low,[],Nawa Killi Area,30.256308,66.977477,2024-03-20T18:47:00,Physical altercation outside a local cafe.
User_655,03354583139,Mobile Snatching,Low,[],Cantonment Area,30.204578,67.031438,2024-03-20T20:02:00,Victim robbed of mobile while walking.
User_425,03276642851,Car Theft,Medium,"[{""Name"": ""Witness_46"", ""Contact_No"": ""03135277661""}]",Zarghoon Road Area,30.230497,67.019801,2024-03-21T10:29:00,Parked vehicle stolen overnight.
User_153,03128547172,Motorcycle Theft,Medium,"[{""Name"": ""Witness_62"", ""Contact_No"": ""03344898590""}]",Hazara Town Area,30.163555,66.944957,2024-03-21T17:25:00,Motorcycle lock broken at market parking.
User_165,03291583872,Mobile Snatching,Low,"[{""Name"": ""Witness_75"", ""Contact_No"": ""03411409169""}]",Hazara Town Area,30.195191,66.917093,2024-03-21T17:38:00,Phone snatched by two riders on a bike.
User_345,03108481602,Mobile Snatching,Low,"[{""Name"": ""Witness_26"", ""Contact_No"": ""03419942092""}]",Nawa Killi Area,30.197903,67.00337,2024-03-21T21:43:00,Victim robbed of mobile while walking.
User_208,03345198256,Robbery,High,"[{""Name"": ""Witness_53"", ""Contact_No"": ""03115544662""}, {""Name"": ""Witness_29"", ""Contact_No"": ""03145006373""}]",Nawa Killi Area,30.2383,67.01642,2024-03-22T13:44:00,Armed individuals looted the shop.
User_943,03449411778,Motorcycle Theft,Medium,[],Zarghoon Road Area,30.194522,67.004016,2024-03-22T23:39:00,Bike stolen from outside the house.
User_904,03493006491,Robbery,High,"[{""Name"": ""Witness_61"", ""Contact_No"": ""03496178695""}, {""Name"": ""Witness_84"", ""Contact_No"": ""03491358089""}]",Jinnah Road Area,30.162122,67.007618,2024-03-23T06:57:00,Victim intercepted and robbed at gunpoint.
User_730,03143839040,Mobile Snatching,High,"[{""Name"": ""Witness_54"", ""Contact_No"": ""03493805385""}, {""Name"": ""Witness_78"", ""Contact_No"": ""03217577811""}, {""Name"": ""Witness_85"", ""Contact_No"": ""03454550403""}]",Sariab Road Area,30.124761,66.994422,2024-03-23T18:17:00,Victim robbed of mobile while walking.
User_990,03332839446,Motorcycle Theft,Medium,"[{""Name"": ""Witness_18"", ""Contact_No"": ""03273104644""}]",Hazara Town Area,30.17997,66.936275,2024-03-24T01:03:00,Motorcycle lock broken at market parking.
User_875,03141360032,Mobile Snatching,Low,"[{""Name"": ""Witness_17"", ""Contact_No"": ""03364164304""}]",Jinnah Road Area,30.187652,66.989232,2024-03-24T15:00:00,Victim robbed of mobile while walking.
User_202,03496979043,Motorcycle Theft,Medium,"[{""Name"": ""Witness_82"", ""Contact_No"": ""03353647560""}]",Jinnah Road Area,30.200396,66.998127,2024-03-25T11:45:00,Motorcycle lock broken at market parking.
User_618,03195344691,Motorcycle Theft,Medium,[],Satellite Town Area,30.232302,66.997528,2024-03-25T18:31:00,Bike stolen from outside the house.
User_582,03419029636,Robbery,High,"[{""Name"": ""Witness_15"", ""Contact_No"": ""03139982265""}, {""Name"": ""Witness_14"", ""Contact_No"": ""03296254407""}, {""Name"": ""Witness_17"", ""Contact_No"": ""03133080896""}]",Jinnah Road Area,30.193567,66.985486,2024-03-26T17:55:00,Victim intercepted and robbed at gunpoint.
User_650,03492925165,Robbery,High,"[{""Name"": ""Witness_96"", ""Contact_No"": ""03388204178""}, {""Name"": ""Witness_17"", ""Contact_No"": ""03447053398""}, {""Name"": ""Witness_98"", ""Contact_No"": ""03195070140""}, {""Name"": ""Witness_94"", ""Contact_No"": ""03324251592""}]",Nawa Killi Area,30.236989,67.02352,2024-03-26T20:42:00,Victim intercepted and robbed at gunpoint.
